doc_id,text
d_006815a5ef,"УСТАНОВИЛ: В Мещанский районный суд поступило исковое заявление к «Достойное Будущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица. Вместе с тем, указанное исковое заявление не может быть принято к производству суда. Пунктом 4 ч.1 ст.135 ГПК РФ предусмотрено, что судья возвращает исковое заявление в случае, если исковое заявление не подписано или исковое заявление подписано и подано лицом, не имеющим полномочий на его подписание и предъявление в суд. Как усматривается из заявления, оно не подписано истцом, При таких обстоятельствах, данное исковое заявление подлежит возврату. Данное обстоятельство не препятствует повторной подаче подписанного надлежащим лицом заявления. На основании изложенного, руководствуясь положениями статьи 135 ГПК РФ, суд ОПРЕДЕЛИЛ: Исковое заявление к «Достойное Ббдущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений ум"
d_012d59baeb,"УСТАНОВИЛ: В Мещанский районный суд города Москвы поступило исковое заявление к АО «НПФ Будущее» о восстановлении пропущенного срока для обращения правопреемника с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица. В силу положений ст. 132 ГПК РФ к исковому заявлению, в числе прочего, прилагается документ, подтверждающий уплату государственной пошлины в установленных порядке и размере или право на получение льготы по уплате государственной пошлины, либо ходатайство о предоставлении отсрочки, рассрочки, об уменьшении размера государственной пошлины или об освобождении от уплаты государственной пошлины; уведомление о вручении или иные документы, подтверждающие направление другим лицам, участвующим в деле, копий искового заявления и приложенных к нему документов, которые у других лиц, участвующих в деле, отсутствуют, в том числе в случае подачи в суд искового заявления и приложенных к нему документов в э"
d_0157394c36,"УСТАНОВИЛ: В Мещанский районный суд поступило исковое заявление к ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений. Указанное исковое заявление определением от года оставлено без движения, по мотивам, приведенным в данном определении, истцу предложено исправить недостатки в срок до года. Ввиду того, что истец не устранил недостатки, указанные в определении судьи об оставлении иска без движения, исковое заявление подлежит возвращению на основании п. 2 ст. 136 ГПК РФ. На основании изложенного, руководствуясь ст. ст. 135, 136, 224-225 ГПК РФ, суд ОПРЕДЕЛИЛ: Возвратить исковое заявление к ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений. Возвращение искового заявления не препятствует повторному обращению истца в суд с иском к тому же ответчику,"
d_0216234592,"УСТАНОВИЛА: обратилась в суд с иском к АО «НПФ «Будущее» о признании незаконным решения, обязании назначить накопительную пенсию, взыскании процентов за пользование чужими денежными средствами за период с по в размере сумма, судебных расходов по оплате юридических услуг в размере сумма, по уплате государственной пошлины в размере сумма В обоснование заявленных требований истец указал, что он обратился к ответчику с заявлением о назначении накопительной пенсии, в связи с тем, что имел необходимый страховой стаж работы и право для назначения накопительной пенсии, что подтвердило Отделение Фонда пенсионного и социального страхования Российской Федерации по Архангельской области и НАО. Вместе с тем, ответчик отказал истцу в назначении накопительной пенсии. С данным решением истец не согласен, что и послужило поводом для обращения истца в суд с данным исковым заявлением. Истец в судебное заседание суда первой инстанции не явился, о месте и времени рассмотрения дела"
d_022be65cc0,"УСТАНОВИЛ: В Мещанский районный суд города Москвы поступило исковое заявление к АО «НПФ «БУДУЩЕЕ» о восстановлении пропущенного срока для обращения с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица. Согласно ч. 2 ст. 131 ГПК РФ в исковом заявлении должны быть указаны: 1) наименование суда, в который подается заявление; 2) сведения об истце: для гражданина - фамилия, имя, отчество (при наличии), дата и место рождения, место жительства или место пребывания, один из идентификаторов (страховой номер индивидуального лицевого счета, идентификационный номер налогоплательщика, серия и номер документа, удостоверяющего личность, серия и номер водительского удостоверения); для организации - наименование, , идентификационный номер налогоплательщика; если заявление подается представителем, - также фамилия, имя, отчество (при наличии) или наименование представителя, для направления судебных повесток и"
d_02581bb831,"УСТАНОВИЛ: В Мещанский районный суд поступило исковое заявление к «БУДУЩЕЕ» о восстановлении пропущенного срока. Вместе с тем, указанное исковое заявление не может быть принято к производству суда. Согласно пункту 4 части 1 статьи 135 ГПК РФ, суд возвращает исковое заявление в случае, если исковое заявление не подписано или исковое заявление подписано и подано лицом, не имеющим полномочий на его подписание и предъявление в суд. Между тем, исковое заявление не подписано истцом, в связи с чем, подлежит возвращению заявителю. На основании изложенного, руководствуясь положениями статьи 135 ГПК РФ, ОПРЕДЕЛИЛ: Исковое заявление к «БУДУЩЕЕ» о восстановлении пропущенного срока – возвратить заявителю с приложенными к нему документами. Возвращение искового заявления не препятствует повторному обращению истца в суд с иском к тому же ответчику, о том же предмете и по тем же основаниям, если истцом будет устранено допущенное нарушение. На определение может быть подана час"
d_031bb856af,"Иркутский районный суд Иркутской области А А А Обычная версия сайта развернуть 664047, Иркутская обл., г. Иркутск, ул. Байкальская, д. 30 Тел.: (3952) 20-84-79, 20-96-06 (ф.) irkutsky.irk@sudrf.ru Иркутский районный суд Иркутской области 664047, Иркутская обл., г. Иркутск, ул. Байкальская, д. 30 Тел.: (3952) 20-84-79, 20-96-06 (ф.) irkutsky.irk@sudrf.ru Закрыть Мобильная версия Главная Карта сайта Судебное делопроизводство Территориальная подсудность Калькулятор госпошлины Главная Подача процессуальных документов в электронном виде О СУДЕ ТЕРРИТОРИАЛЬНАЯ ПОДСУДНОСТЬ СУДЕЙСКОЕ СООБЩЕСТВО НОРМАТИВНЫЕ АКТЫ ДОКУМЕНТЫ СУДА СУДЕБНОЕ ДЕЛОПРОИЗВОДСТВО СПРАВОЧНАЯ ИНФОРМАЦИЯ КАЛЬКУЛЯТОР ГОСПОШЛИНЫ ПРЕСС-СЛУЖБА УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА СУДЫ СУБЪЕКТА РФ МУНИЦИПАЛЬНЫЕ ОРГАНЫ ВЛАСТИ ВАКАНСИИ ПРОТИВОДЕЙСТВИЕ КОРРУПЦИИ ОБРАЩЕНИЯ ГРАЖДАН ВНЕПРОЦЕССУАЛЬНЫЕ ОБРАЩЕНИЯ Карта сайта ВЕРСИЯ ДЛЯ СЛАБОВИДЯЩИХ Подача процессуальных документов в электронном виде О СУДЕ СУДЕЙСКОЕ СООБЩЕСТВО НОРМАТИВНЫЕ АК"
d_039b73af8a,"УСТАНОВИЛ: В Мещанский районный суд поступило настоящее исковое заявление. Указанное исковое заявление определением судьи оставлено без движения, по мотивам, приведенным в данном определении, до 29 декабря 2024 года. Ввиду того, что истец не устранил недостатки, указанные в определении судьи об оставлении иска без движения, исковое заявление подлежит возвращению на основании ч.3 ст. 136 ГПК РФ. На основании изложенного, и, руководствуясь ст. 135 ГПК РФ, судья ОПРЕДЕЛИЛ: Возвратить исковое заявление к «Достойное Будущее» о восстановлении срока. Возвращение искового заявления не препятствует повторному обращению истца в суд с иском. На определение может быть подана частная жалоба в Московский городской суд через Мещанский районный суд в течение пятнадцати дней. Судья фио Направляется копия определения суда по результатам рассмотрения искового заявления с приложением. Судья фио"
d_03abd95c40,"УСТАНОВИЛ: В Мещанский районный суд города Москвы поступило настоящее исковое заявление. Указанное заявление подлежит оставлению без движения, как поданное с нарушением требований ст. 131, 132 ГПК РФ, по следующим основаниям. В настоящем случае в суд поступило только исковое заявление, приложение к иску не поступило. Тем самым, истцу следует представить документы, указанные в приложении к иску. Согласно ст. 136 ГПК РФ, судья, установив, что исковое заявление подано в суд без соблюдения требований, установленных в статьях 131 и 132 настоящего кодекса, выносит определение об оставлении заявления без движения, о чем извещает лицо, подавшее заявление, и предоставляет ему разумный срок для исправления недостатков. На основании изложенного, и, руководствуясь ст. 136 ГПК РФ, судья, ОПРЕДЕЛИЛ: Исковое заявление оставить без движения, предложив истцу устранить указанные в определении недостатки в срок до 28 февраля 2025 года. Разъяснить заявителю, что в случае, если недостатки не будут устране"
d_03bee6a656,"УСТАНОВИЛ: В Мещанский районный суд города Москвы поступило исковое заявление Государственного автономного учреждения социального обслуживания Свердловской области «Центр социальной помощи семье и детям «Каравелла» Верх-Исетского района города Екатеринбурга», действующего в интересах несовершеннолетней к АО «НПФ «Будущее», АО «НПФ «Эволюция» о восстановлении срока для принятия наследства. Указанное заявление подлежит оставлению без движения, как поданное с нарушением требований ст. ст. 131, 132 ГПК РФ по следующим основаниям. В силу требований ст. 132 ГПК РФ к исковому заявлению прилагаются, в числе прочего, уведомление о вручении или иные документы, подтверждающие направление другим лицам, участвующим в деле, копий искового заявления и приложенных к нему документов, которые у других лиц, участвующих в деле, отсутствуют, в том числе в случае подачи в суд искового заявления и приложенных к нему документов посредством заполнения формы, размещенной на официальном сайте соответствующег"
