doc_id,text
d_006815a5ef,"Судья Мещанского районного суда адрес ФИО, ознакомившись с исковым заявлением ФИО к адрес «Достойное Будущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица,

УСТАНОВИЛ:
В Мещанский районный суд адрес поступило исковое заявление ФИО к адрес «Достойное Будущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица.
Вместе с тем, указанное исковое заявление не может быть принято к производству суда.
Пунктом 4 ч.1 ст.135 ГПК РФ предусмотрено, что судья возвращает исковое заявление в случае, если исковое заявление не подписано или исковое заявление подписано и подано лицом, не имеющим полномочий на его подписание и предъявление в суд.
Как усматривается из заявления, оно не подписано истцом,
При таких обстоятельствах, данное исковое заявление подлежит возврату.
Данное обстоятельство не препятствует повторной подаче подписанного надлежащим лицом заявления.
На основании изложенного, руководствуясь положениями статьи 135 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Исковое заявление ФИО к адрес «Достойное Ббдущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица – возвратить истцу.
Возвращение искового заявления не препятствует повторному обращению истца в суд с иском к тому же ответчику, о том же предмете и по тем же основаниям, если истцом будет устранено допущенное нарушение.
На определение может быть подана частная жалоба в Московский городской суд через Мещанский районный суд адрес в течение 15 дней.
Судья ФИО
РОССИЙСКАЯ ФЕДЕРАЦИЯ
Мещанский
районный суд
тел. телефон -74
М - 5087/2024
ФИО
Мещанский районный суд адрес направляет в Ваш адрес определение о возвращении искового заявления от 17.04.2024 года.
Приложение:
- определение о возвращении искового заявления;
- копия искового заявления;
- приложения к исковому заявлению;
- оригинал квитанции об оплате госпошлины.
Судья фио
РОССИЙСКАЯ ФЕДЕРАЦИЯ
Мещанский
районный суд
тел. телефон -74
М - 5087/2024
ФИО
Мещанский районный суд адрес направляет в Ваш адрес определение о возвращении искового заявления от 17.04.2024 года.
Приложение:
- определение о возвращении искового заявления;
- копия искового заявления;
- приложения к исковому заявлению;
- оригинал квитанции об оплате госпошлины.
Судья фио"
d_012d59baeb,"Москва
Судья Мещанского районного суда города Москвы ФИО, изучив исковое заявление ФИО к АО «НПФ Будущее» о восстановлении пропущенного срока для обращения правопреемника с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица,

УСТАНОВИЛ:
В Мещанский районный суд города Москвы поступило исковое заявление ФИО к АО «НПФ Будущее» о восстановлении пропущенного срока для обращения правопреемника с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица.
В силу положений ст. 132 ГПК РФ к исковому заявлению, в числе прочего, прилагается документ, подтверждающий уплату государственной пошлины в установленных порядке и размере или право на получение льготы по уплате государственной пошлины, либо ходатайство о предоставлении отсрочки, рассрочки, об уменьшении размера государственной пошлины или об освобождении от уплаты государственной пошлины; уведомление о вручении или иные документы, подтверждающие направление другим лицам, участвующим в деле, копий искового заявления и приложенных к нему документов, которые у других лиц, участвующих в деле, отсутствуют, в том числе в случае подачи в суд искового заявления и приложенных к нему документов в электронном виде.
Ознакомившись с иском, суд считает, что поданное заявление не соответствует указанным требованиям.
08.09.2024 вступили в силу положения Федерального закона от 08.08.2024 № 259-ФЗ «О внесении изменений в части первую и вторую Налогового кодекса Российской Федерации и отдельные законодательные акты Российской Федерации о налогах и сборах».
Изменения внесены в статью 333.19 НК РФ, устанавливающую размеры государственной пошлины по делам, рассматриваемым Верховным Судом Российской Федерации, судами общей юрисдикции, мировыми судьями, а также в статью 333.36 НК РФ, устанавливающую льготы при обращении в Верховный Суд Российской Федерации, суды общей юрисдикции, к мировым судьям.
Новый порядок исчисления государственной пошлины распространяется на все заявления, поданные после дня вступления в силу положений указанного Федерального закона
На основании подп. 3 п. 1 ст. 333.19 НК РФ по делам, рассматриваемым Верховным Судом Российской Федерации в соответствии с гражданским процессуальным законодательством Российской Федерации и законодательством об административном судопроизводстве, судами общей юрисдикции, мировыми судьями, государственная пошлина уплачивается в следующих размерах: при подаче искового заявления имущественного характера, не подлежащего оценке, искового заявления неимущественного характера: для физических лиц - 3000 рублей; для организаций - 20 000 рублей.
В данном случае отсутствуют сведения об оплате государственной пошлины в установленном размере.
Более того, к исковому заявлению не приложены сведения о направлении копии искового заявления и иных требуемых документов в юридический адрес ответчика с приложением описи вложения и почтового идентификатора.
Согласно ст. 136 ГПК РФ судья, установив, что исковое заявление подано в суд без соблюдения требований, установленных в статьях 131 и 132 настоящего кодекса, выносит определение об оставлении заявления без движения, о чем извещает лицо, подавшее заявление, и предоставляет ему разумный срок для исправления недостатков.
На основании изложенного, руководствуясь ст. 136 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Исковое заявление ФИО к АО «НПФ Будущее» о восстановлении пропущенного срока для обращения правопреемника с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица – оставить без движения, предложив истцу устранить указанные в определении недостатки в срок до 18 апреля 2025 года.
Разъяснить заявителю, что в случае, если недостатки не будут устранены в установленный срок, заявление будет считаться неподанным и возвращено со всеми приложенными к нему документами.
Судья ФИО"
d_0157394c36,"Судья Мещанского районного суда адрес фио, изучив исковое заявление ФИО к адрес ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений,

УСТАНОВИЛ:
В Мещанский районный суд адрес поступило исковое заявление ФИО к адрес ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений.
Указанное исковое заявление определением от 01.08.2023 года оставлено без движения, по мотивам, приведенным в данном определении, истцу предложено исправить недостатки в срок до 01.09.2023 года.
Ввиду того, что истец не устранил недостатки, указанные в определении судьи об оставлении иска без движения, исковое заявление подлежит возвращению на основании п. 2 ст. 136 ГПК РФ.
На основании изложенного, руководствуясь ст. ст. 135, 136, 224-225 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Возвратить исковое заявление ФИО к адрес ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений.
Возвращение искового заявления не препятствует повторному обращению истца в суд с иском к тому же ответчику, о том же предмете и по тем же основаниям.
На определение может быть подана частная жалоба в Московский городской суд через Мещанский районный суд адрес в течение пятнадцати дней со дня вынесения определения.
Судья фио
Мещанский
районный суд
тел./ факс (495) 680-24-22
№ М-10131/2023
ФИО Направляется копия определения суда по результатам рассмотрения искового заявления.
Судья фио
Мещанский
районный суд
тел./ факс (495) 680-24-22
№ М-10131/2023
ФИО Направляется копия определения суда по результатам рассмотрения искового заявления.
Судья фио"
d_0216234592,"Получится ли взыскать с фонда проценты за пользование чужими средствами вместе с признанием отказа в накопительной пенсии незаконным? Суд признал отказ фонда незаконным. Обяжет ли он сам фонд назначить выплату? Какой пример использовать, если нужно показать, что отказ фонда в назначении накопительной пенсии может быть признан незаконным с возложением обязанности назначить выплату? Считается ли подтвержденное право на досрочную страховую пенсию достаточным условием для назначения накопительной пенсии? Какая практика объясняет правило 5% для единовременной выплаты средств пенсионных накоплений и связь этого правила с правом на страховую пенсию? Есть ли практика, где участник требовал проценты за пользование чужими денежными средствами при отказе в накопительной пенсии, но суд удовлетворил только основные требования и расходы? Основное требование о назначении выиграно, а проценты не присудили. Почему так выходит? Как правило 5% связано с правом на страховую пенсию при решении о единовременной выплате накоплений? Фонд отказал в накопительной пенсии из-за отсутствия «обычной» страховой, хотя назначена досрочная. Правомерно ли? Нужна практика, где апелляция не согласилась с отказом фонда в накопительной пенсии из-за того, что у заявителя было подтверждено право на досрочную страховую пенсию. Чего реально добиться в суде, если фонд незаконно отказал в накопительной пенсии: только признания отказа или и самой выплаты?"
d_022be65cc0,"Москва
Судья Мещанского районного суда города Москвы ФИО, изучив исковое заявление ФИО к АО «НПФ «БУДУЩЕЕ» о восстановлении пропущенного срока для обращения с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица,

УСТАНОВИЛ:
В Мещанский районный суд города Москвы поступило исковое заявление ФИО к АО «НПФ «БУДУЩЕЕ» о восстановлении пропущенного срока для обращения с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица.
Согласно ч. 2 ст. 131 ГПК РФ в исковом заявлении должны быть указаны:
1) наименование суда, в который подается заявление;
2) сведения об истце: для гражданина - фамилия, имя, отчество (при наличии), дата и место рождения, место жительства или место пребывания, один из идентификаторов (страховой номер индивидуального лицевого счета, идентификационный номер налогоплательщика, серия и номер документа, удостоверяющего личность, серия и номер водительского удостоверения); для организации - наименование, адрес, идентификационный номер налогоплательщика; если заявление подается представителем, - также фамилия, имя, отчество (при наличии) или наименование представителя, адрес для направления судебных повесток и иных судебных извещений, один из идентификаторов представителя (для гражданина);
3) сведения об ответчике: для гражданина - фамилия, имя, отчество (при наличии), дата и место рождения, место жительства или место пребывания, место работы (если известно), один из идентификаторов (страховой номер индивидуального лицевого счета, идентификационный номер налогоплательщика, серия и номер документа, удостоверяющего личность, основной государственный регистрационный номер индивидуального предпринимателя, серия и номер водительского удостоверения); для организации - наименование, адрес, идентификационный номер налогоплательщика и основной государственный регистрационный номер. В случае, если истцу неизвестны дата и место рождения ответчика, один из идентификаторов ответчика, об этом указывается в исковом заявлении и такая информация по запросу суда предоставляется органами Фонда пенсионного и социального страхования Российской Федерации, и (или) налоговыми органами, и (или) органами внутренних дел. В случае, если истцу по иску о взыскании задолженности по оплате помещения, машино-места в многоквартирном доме, коммунальных услуг, взносов на капитальный ремонт общего имущества собственников помещений в многоквартирном доме, энергетических ресурсов неизвестны не только вышеуказанные сведения об ответчике, но и фамилия, имя, отчество (при наличии) ответчика, соответствующий истец в исковом заявлении вправе указать об этом и такая информация вместе с вышеуказанными сведениями об ответчике, неизвестными истцу, предоставляется суду указанными в настоящем пункте органами, а также организацией, уполномоченной на предоставление сведений из Единого государственного реестра недвижимости, в порядке, установленном федеральным законом. В указанных случаях срок принятия искового заявления к производству суда, предусмотренный частью первой статьи 133 настоящего Кодекса, исчисляется со дня получения судом такой информации;
4) в чем заключается нарушение либо угроза нарушения прав, свобод или законных интересов истца и его требования;
5) обстоятельства, на которых истец основывает свои требования, и доказательства, подтверждающие эти обстоятельства;
6) цена иска, если он подлежит оценке, а также расчет взыскиваемых или оспариваемых денежных сумм;
7) сведения о соблюдении досудебного порядка обращения к ответчику, если это установлено федеральным законом;
7.1) сведения о предпринятых стороной (сторонами) действиях, направленных на примирение, если такие действия предпринимались;
8) перечень прилагаемых к заявлению документов.
В силу положений ст. 132 ГПК РФ к исковому заявлению прилагаются:
1) документ, подтверждающий уплату государственной пошлины в установленных порядке и размере или право на получение льготы по уплате государственной пошлины, либо ходатайство о предоставлении отсрочки, рассрочки, об уменьшении размера государственной пошлины или об освобождении от уплаты государственной пошлины;
2) доверенность или иной документ, удостоверяющие полномочия представителя истца;
3) документы, подтверждающие выполнение обязательного досудебного порядка урегулирования спора, если такой порядок установлен федеральным законом;
4) документы, подтверждающие обстоятельства, на которых истец основывает свои требования;
5) расчет взыскиваемой или оспариваемой денежной суммы, подписанный истцом, его представителем, с копиями в соответствии с количеством ответчиков и третьих лиц;
6) уведомление о вручении или иные документы, подтверждающие направление другим лицам, участвующим в деле, копий искового заявления и приложенных к нему документов, которые у других лиц, участвующих в деле, отсутствуют, в том числе в случае подачи в суд искового заявления и приложенных к нему документов в электронном виде;
7) документы, подтверждающие совершение стороной (сторонами) действий, направленных на примирение, если такие действия предпринимались и соответствующие документы имеются.
В нарушение указанных норм к исковому материалу не приложены документы, подтверждающие обстоятельства, на которых истец основывает свои требования, в том числе документы, подтверждающие родственные отношения с умершим (свидетельство о рождении).
Согласно ст. 136 ГПК РФ судья, установив, что исковое заявление подано в суд без соблюдения требований, установленных в статьях 131 и 132 настоящего кодекса, выносит определение об оставлении заявления без движения, о чем извещает лицо, подавшее заявление, и предоставляет ему разумный срок для исправления недостатков.
На основании изложенного, руководствуясь ст. 136 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Исковое заявление ФИО к АО «НПФ «БУДУЩЕЕ» о восстановлении пропущенного срока для обращения с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица – оставить без движения, предложив истцу устранить указанные в определении недостатки в срок до 15 апреля 2026 года.
Разъяснить заявителю, что в случае, если недостатки не будут устранены в установленный срок, заявление будет считаться неподанным и возвращено со всеми приложенными к нему документами.
Судья ФИО"
d_02581bb831,"Мещанский районный суд адрес в составе судьи ФИО, рассмотрев исковое заявление ФИО к адрес «БУДУЩЕЕ» о восстановлении пропущенного срока,

УСТАНОВИЛ:
В Мещанский районный суд адрес поступило исковое заявление ФИО к адрес «БУДУЩЕЕ» о восстановлении пропущенного срока.
Вместе с тем, указанное исковое заявление не может быть принято к производству суда.
Согласно пункту 4 части 1 статьи 135 ГПК РФ, суд возвращает исковое заявление в случае, если исковое заявление не подписано или исковое заявление подписано и подано лицом, не имеющим полномочий на его подписание и предъявление в суд.
Между тем, исковое заявление не подписано истцом, в связи с чем, подлежит возвращению заявителю.
На основании изложенного, руководствуясь положениями статьи 135 ГПК РФ,

ОПРЕДЕЛИЛ:
Исковое заявление ФИО к адрес «БУДУЩЕЕ» о восстановлении пропущенного срока – возвратить заявителю с приложенными к нему документами.
Возвращение искового заявления не препятствует повторному обращению истца в суд с иском к тому же ответчику, о том же предмете и по тем же основаниям, если истцом будет устранено допущенное нарушение.
На определение может быть подана частная жалоба через Мещанский районный суд адрес в Московский городской суд в течение 15 дней со дня его вынесения.
Судья ФИО"
d_031bb856af,"Иркутский районный суд Иркутской области А А А Обычная версия сайта развернуть 664047, Иркутская обл., г. Иркутск, ул. Байкальская, д. 30 Тел.: (3952) 20-84-79, 20-96-06 (ф.) irkutsky.irk@sudrf.ru Иркутский районный суд Иркутской области 664047, Иркутская обл., г. Иркутск, ул. Байкальская, д. 30 Тел.: (3952) 20-84-79, 20-96-06 (ф.) irkutsky.irk@sudrf.ru Закрыть Мобильная версия Главная Карта сайта Судебное делопроизводство Территориальная подсудность Калькулятор госпошлины Главная Подача процессуальных документов в электронном виде О СУДЕ ТЕРРИТОРИАЛЬНАЯ ПОДСУДНОСТЬ СУДЕЙСКОЕ СООБЩЕСТВО НОРМАТИВНЫЕ АКТЫ ДОКУМЕНТЫ СУДА СУДЕБНОЕ ДЕЛОПРОИЗВОДСТВО СПРАВОЧНАЯ ИНФОРМАЦИЯ КАЛЬКУЛЯТОР ГОСПОШЛИНЫ ПРЕСС-СЛУЖБА УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА СУДЫ СУБЪЕКТА РФ МУНИЦИПАЛЬНЫЕ ОРГАНЫ ВЛАСТИ ВАКАНСИИ ПРОТИВОДЕЙСТВИЕ КОРРУПЦИИ ОБРАЩЕНИЯ ГРАЖДАН ВНЕПРОЦЕССУАЛЬНЫЕ ОБРАЩЕНИЯ Карта сайта ВЕРСИЯ ДЛЯ СЛАБОВИДЯЩИХ Подача процессуальных документов в электронном виде О СУДЕ СУДЕЙСКОЕ СООБЩЕСТВО НОРМАТИВНЫЕ АКТЫ ДОКУМЕНТЫ СУДА СУДЕБНОЕ ДЕЛОПРОИЗВОДСТВО СПРАВОЧНАЯ ИНФОРМАЦИЯ ПРЕСС-СЛУЖБА УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА СУДЫ СУБЪЕКТА РФ МУНИЦИПАЛЬНЫЕ ОРГАНЫ ВЛАСТИ ВАКАНСИИ ПРОТИВОДЕЙСТВИЕ КОРРУПЦИИ ОБРАЩЕНИЯ ГРАЖДАН ВНЕПРОЦЕССУАЛЬНЫЕ ОБРАЩЕНИЯ Запросы ОПФР по постановлению Правительства РФ от 28.06.2021 № 1037 Факс суда - 20-96-06 (Внимание! Факс работает в автоматическом режиме) С информацией о движении дела вы можете ознакомиться в разделе ""Судебное делопроизводство"" Госпошлина Банковские реквизиты Список телефонов аппарата суда Получайте судебные уведомления на Госуслугах Будут приходить уведомления двух типов: судебное извещение (вызов в суд), копия судебного акта. Настроить получение судебных уведомлений на Госуслугах Иркутский районный суд Иркутской области предупреждает об участившихся случаях мошеннических действий лиц, которые от имени сотрудников суда звонят участникам процесса, сообщая информацию о деле, находящемся в производстве суда, с целью получения личных данных для доступа к порталу «Госуслуг» . Просим быть бдительными, уточнять информацию только на официальном сайте и по телефонам суда: Приёмная: 20-84-79 , Отдел по гражданским делам: 20-97-78, 20-93-32, Отдел по уголовным делам и делам об административных правонарушениях 20-93-20 : либо обратившись в суд лично. Корреспонденцию для Иркутского Районного суда Иркутской области посредством почтовой связи необходимо направлять по адресу: 664047, г. Иркутск, ул. Байкальская, д. 30. Внимание! По независящим от суда причинам сервис подачи процессуальных обращений в электронном виде с 22.09.2025 по настоящее время работает с существенной задержкой доставки поступающих обращений в информационную систему суда. Обращаем внимание, что суд имеет возможность обрабатывать обращения, поданные в электронном виде только после присвоения им сервисом статуса ""Доставлено в суд"". Датой поступления обращения в суд также считается дата и время присвоения обращению указанного статуса. Внимание! С 30 июня 2025 г. обращения процессуального характера и обращения в порядке Федерального закона от 02.05.2006 № 59-ФЗ не принимаются электронную почту суда. Для подачи указанных обращений необходимо использовать установленные законом способы. Подробнее… СУДЕБНОЕ ДЕЛОПРОИЗВОДСТВО Вывести список дел, назначенных на дату Поиск информации по делам Вернуться к списку дел Гражданские дела - первая инстанция ДЕЛО № 2-616/2020 (2-4010/2019;) ~ М-3693/2019 ДЕЛО ДВИЖЕНИЕ ДЕЛА СТОРОНЫ ПО ДЕЛУ (ТРЕТЬИ ЛИЦА) ОБЖАЛОВАНИЕ РЕШЕНИЙ, ОПРЕДЕЛЕНИЙ (ПОСТ.) ДЕЛО Уникальный идентификатор дела 38RS0031-01-2019-004954-55 Дата поступления 16.12.2019 Категория дела Споры, возникающие из пенсионных отношений → Из нарушений пенсионного законодательства → Иски физических лиц к негосударственному пенсионному фонду → иные требования к негосударственному пенсионному фонду Судья ФИОДата рассмотрения 03.03.2020 Результат рассмотрения Иск (заявление, жалоба) УДОВЛЕТВОРЕН Признак рассмотрения дела Рассмотрено единолично судьей ДВИЖЕНИЕ ДЕЛА Наименование события Дата Время Место проведения Результат события Основание для выбранного результата события Примечание Дата размещения Информация о размещении событий в движении дела предоставляется на основе сведений, хранящихся в учетной системе судебного делопроизводства Регистрация иска (заявления, жалобы) в суде 16.12.2019 15:31 16.12.2019 Передача материалов судье 17.12.2019 09:22 17.12.2019 Решение вопроса о принятии иска (заявления, жалобы) к рассмотрению 17.12.2019 19:14 Иск (заявление, жалоба) принят к производству 17.12.2019 Вынесено определение о подготовке дела к судебному разбирательству 17.12.2019 19:14 17.12.2019 Подготовка дела (собеседование) 03.02.2020 10:00 6 Вынесено определение о назначении дела к судебному разбирательству 17.12.2019 Вынесено определение о назначении дела к судебному разбирательству 03.02.2020 10:15 04.02.2020 Судебное заседание 12.02.2020 11:00 6 Объявлен перерыв 04.02.2020 Судебное заседание 03.03.2020 16:00 6 Вынесено решение по делу Иск (заявление, жалоба) УДОВЛЕТВОРЕН 12.02.2020 Изготовлено мотивированное решение в окончательной форме 10.03.2020 14:00 10.03.2020 Дело сдано в отдел судебного делопроизводства 25.03.2020 10:53 25.03.2020 СТОРОНЫ ПО ДЕЛУ (ТРЕТЬИ ЛИЦА) Вид лица, участвующего в деле Фамилия / наименование ИНН КПП ОГРН ОГРНИП ОТВЕТЧИК АО НПФ Будущее ТРЕТЬЕ ЛИЦО ГУ Отделение Пенсионного фонда РФ по Иркутской области ИСТЕЦ Прокурор Иркутского района ИСТЕЦ ФИО * отсортировано по дате регистрации жалобы ЖАЛОБА № 1* Вид жалобы (представления) Апелляционная жалоба (на не вступивший в силу судебный акт) Заявитель ОТВЕТЧИК Вышестоящий суд Иркутский областной суд ---=== ДВИЖЕНИЕ ЖАЛОБЫ ===--- Событие Дата Результат Основание для выбранного результата Примечание Дата размещения Информация о размещении событий в движении жалобы предоставляется на основе сведений, хранящихся в учетной системе судебного делопроизводства Регистрация жалобы (представления) в суде 15.04.2020 Оставление жалобы (представления) без движения 16.04.2020 Срок для устранения недостатков до 06.05.2020 Поступление исправленной жалобы (представления) в суд 14.05.2020 Решение вопроса о принятии жалобы (представления) к рассмотрению 14.05.2020 Жалоба (предст.) ПРИНЯТА К РАССМОТРЕНИЮ Установлен срок для предоставления возражений 14.05.2020 Срок до 10.06.2020 Направлено в вышестоящую инстанцию 09.07.2020 Возвращено из вышестоящей инстанции 04.09.2020 Назначено в вышестоящий суд на дату 17.08.2020 Дата рассмотрения жалобы 17.08.2020 Результат обжалования Оставить решение (определение) БЕЗ ИЗМЕНЕНИЯ, а жалобу или представление без удовлетворения ЖАЛОБА № 2* Вид жалобы (представления) Кассационная жалоба (на вступивший в силу судебный акт) Заявитель ОТВЕТЧИК Вышестоящий суд Восьмой кассационный суд общей юрисдикции ---=== ДВИЖЕНИЕ ЖАЛОБЫ ===--- Событие Дата Результат Основание для выбранного результата Примечание Дата размещения Информация о размещении событий в движении жалобы предоставляется на основе сведений, хранящихся в учетной системе судебного делопроизводства Регистрация жалобы (представления) в суде 30.11.2020 Направлено в вышестоящую инстанцию 07.12.2020 Возвращено из вышестоящей инстанции 12.03.2021 Назначено в вышестоящий суд на дату 26.01.2021 Дата рассмотрения жалобы 26.01.2021 Результат обжалования Оставлено БЕЗ ИЗМЕНЕНИЯ изменено 22.12.2025 20:40 Подача процессуальных документов в электронном виде О СУДЕ СУДЕЙСКОЕ СООБЩЕСТВО НОРМАТИВНЫЕ АКТЫ ДОКУМЕНТЫ СУДА СУДЕБНОЕ ДЕЛОПРОИЗВОДСТВО СПРАВОЧНАЯ ИНФОРМАЦИЯ ПРЕСС-СЛУЖБА УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА СУДЫ СУБЪЕКТА РФ МУНИЦИПАЛЬНЫЕ ОРГАНЫ ВЛАСТИ ВАКАНСИИ ПРОТИВОДЕЙСТВИЕ КОРРУПЦИИ ОБРАЩЕНИЯ ГРАЖДАН ВНЕПРОЦЕССУАЛЬНЫЕ ОБРАЩЕНИЯ Факс суда - 20-96-06 (Внимание! Факс работает в автоматическом режиме) С информацией о движении дела вы можете ознакомиться в разделе ""Судебное делопроизводство"" Госпошлина Банковские реквизиты Список телефонов аппарата суда Главная Подача процессуальных документов в электронном виде О СУДЕ ТЕРРИТОРИАЛЬНАЯ ПОДСУДНОСТЬ СУДЕЙСКОЕ СООБЩЕСТВО НОРМАТИВНЫЕ АКТЫ ДОКУМЕНТЫ СУДА СУДЕБНОЕ ДЕЛОПРОИЗВОДСТВО СПРАВОЧНАЯ ИНФОРМАЦИЯ КАЛЬКУЛЯТОР ГОСПОШЛИНЫ ПРЕСС-СЛУЖБА УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА СУДЫ СУБЪЕКТА РФ МУНИЦИПАЛЬНЫЕ ОРГАНЫ ВЛАСТИ ВАКАНСИИ ПРОТИВОДЕЙСТВИЕ КОРРУПЦИИ ОБРАЩЕНИЯ ГРАЖДАН ВНЕПРОЦЕССУАЛЬНЫЕ ОБРАЩЕНИЯ Карта сайта Обычная версия сайта 2006-2026 «Государственная автоматизированная система Российской Федерации «Правосудие»"
